** Conflict ** , thinking about stall or another move
** Conflict ** , thinking about stall or another move
Printing final path
Player 2 going at posisition at<23,89> at step 123
Player 1 going at posisition at<19,89> at step 124
Player 2 going at posisition at<24,89> at step 124
Player 1 going at posisition at<18,89> at step 125
Player 2 going at posisition at<25,89> at step 125
Player 1 going at posisition at<17,89> at step 126
Player 2 going at posisition at<26,89> at step 126
Player 1 going at posisition at<16,89> at step 127
Player 2 going at posisition at<27,89> at step 127
Player 1 going at posisition at<15,89> at step 128
Player 2 going at posisition at<28,89> at step 128
Player 1 going at posisition at<14,89> at step 129
Player 2 going at posisition at<29,89> at step 129
Player 1 going at posisition at<13,89> at step 130
Player 2 going at posisition at<30,89> at step 130
Player 1 going at posisition at<12,89> at step 131
Player 2 going at posisition at<31,89> at step 131
Player 1 going at posisition at<11,89> at step 132
Player 2 going at posisition at<32,89> at step 132
Player 1 going at posisition at<10,89> at step 133
Player 2 going at posisition at<33,89> at step 133
Player 1 going at posisition at<9,89> at step 134
Player 2 going at posisition at<34,89> at step 134
Player 1 going at posisition at<8,89> at step 135
Player 2 going at posisition at<35,89> at step 135
Player 1 going at posisition at<7,89> at step 136
Player 2 going at posisition at<36,89> at step 136
Player 1 going at posisition at<6,89> at step 137
Player 2 going at posisition at<37,89> at step 137
Player 1 going at posisition at<5,89> at step 138
Player 2 going at posisition at<37,88> at step 138
Player 1 going at posisition at<5,89> at step 139
Player 2 going at posisition at<37,87> at step 139
Player 1 going at posisition at<6,89> at step 140
Player 2 going at posisition at<38,87> at step 140
Player 1 going at posisition at<7,89> at step 141
Player 2 going at posisition at<38,86> at step 141
Player 1 going at posisition at<8,89> at step 142
Player 2 going at posisition at<38,85> at step 142
Player 1 going at posisition at<9,89> at step 143
Player 2 going at posisition at<38,84> at step 143
Player 1 going at posisition at<10,89> at step 144
Player 2 going at posisition at<38,83> at step 144
Player 1 going at posisition at<11,89> at step 145
Player 2 going at posisition at<39,83> at step 145
Player 1 going at posisition at<12,89> at step 146
Player 2 going at posisition at<39,82> at step 146
Player 1 going at posisition at<13,89> at step 147
Player 2 going at posisition at<39,81> at step 147
Player 1 going at posisition at<14,89> at step 148
Player 2 going at posisition at<39,80> at step 148
Player 1 going at posisition at<15,89> at step 149
Player 2 going at posisition at<39,79> at step 149
Player 1 going at posisition at<16,89> at step 150
Player 2 going at posisition at<40,79> at step 150
Player 1 going at posisition at<17,89> at step 151
Player 2 going at posisition at<41,79> at step 151
Player 1 going at posisition at<18,89> at step 152
Player 2 going at posisition at<41,78> at step 152
Player 1 going at posisition at<19,89> at step 153
Player 2 going at posisition at<42,78> at step 153
Player 1 going at posisition at<20,89> at step 154
Player 2 going at posisition at<43,78> at step 154
Player 1 going at posisition at<21,89> at step 155
Player 2 going at posisition at<43,77> at step 155
Player 1 going at posisition at<22,89> at step 156
Player 2 going at posisition at<44,77> at step 156
Player 1 going at posisition at<23,89> at step 157
Player 2 going at posisition at<45,77> at step 157
Player 1 going at posisition at<24,89> at step 158
Player 2 going at posisition at<45,76> at step 158
Player 1 going at posisition at<25,89> at step 159
Player 2 going at posisition at<45,75> at step 159
Player 1 going at posisition at<26,89> at step 160
Player 2 going at posisition at<46,75> at step 160
Player 1 going at posisition at<27,89> at step 161
Player 2 going at posisition at<46,74> at step 161
Player 1 going at posisition at<28,89> at step 162
Player 2 going at posisition at<47,74> at step 162
Player 1 going at posisition at<29,89> at step 163
Player 2 going at posisition at<48,74> at step 163
Player 1 going at posisition at<30,89> at step 164
Player 2 going at posisition at<48,73> at step 164
Player 1 going at posisition at<31,89> at step 165
Player 2 going at posisition at<49,73> at step 165
Player 1 going at posisition at<32,89> at step 166
Player 2 going at posisition at<50,73> at step 166
Player 1 going at posisition at<33,89> at step 167
Player 2 going at posisition at<51,73> at step 167
Player 1 going at posisition at<34,89> at step 168
Player 2 going at posisition at<51,72> at step 168
Player 1 going at posisition at<35,89> at step 169
Player 2 going at posisition at<51,71> at step 169
Player 1 going at posisition at<36,89> at step 170
Player 2 going at posisition at<52,71> at step 170
Player 1 going at posisition at<37,89> at step 171
Player 2 going at posisition at<53,71> at step 171
Player 1 going at posisition at<37,88> at step 172
Player 2 going at posisition at<53,70> at step 172
Player 1 going at posisition at<37,87> at step 173
Player 2 going at posisition at<54,70> at step 173
Player 1 going at posisition at<38,87> at step 174
Player 2 going at posisition at<54,69> at step 174
Player 1 going at posisition at<38,86> at step 175
Player 2 going at posisition at<55,69> at step 175
Player 1 going at posisition at<38,85> at step 176
Player 2 going at posisition at<56,69> at step 176
Player 1 going at posisition at<38,84> at step 177
Player 2 going at posisition at<56,68> at step 177
Player 1 going at posisition at<38,83> at step 178
Player 2 going at posisition at<57,68> at step 178
Player 1 going at posisition at<39,83> at step 179
Player 2 going at posisition at<57,67> at step 179
Player 1 going at posisition at<39,82> at step 180
Player 2 going at posisition at<57,66> at step 180
Player 1 going at posisition at<39,81> at step 181
Player 2 going at posisition at<58,66> at step 181
Player 1 going at posisition at<39,80> at step 182
Player 2 going at posisition at<58,65> at step 182
Player 1 going at posisition at<39,79> at step 183
Player 2 going at posisition at<59,65> at step 183
Player 1 going at posisition at<40,79> at step 184
Player 2 going at posisition at<60,65> at step 184
Player 1 going at posisition at<41,79> at step 185
Player 2 going at posisition at<61,65> at step 185
Player 1 going at posisition at<41,78> at step 186
Player 2 going at posisition at<62,65> at step 186
Player 1 going at posisition at<42,78> at step 187
